age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
46,76.8,1.84,34.021144,False,Chandigarh,student,Low
68,116.4,1.7,50.0,True,Pune,retired,High
66,101.4,1.58,12.059532,True,Chennai,government_job,High
56,92.2,1.79,1.200376,False,Chandigarh,business_owner,Medium
41,61.8,1.67,50.0,True,Chandigarh,retired,Low
63,61.8,1.74,3.527999,False,Mumbai,unemployed,High
30,55.1,1.54,22.346767,False,Mumbai,government_job,Low
57,110.6,1.75,24.329578,True,Hyderabad,retired,High
62,92.4,1.65,15.46794,False,Hyderabad,retired,High
56,99.7,1.63,1.287954,False,Indore,business_owner,High
65,52.5,1.89,9.029881,False,Indore,freelancer,High
53,117.7,1.67,2.395326,False,Jalandhar,retired,High
40,108.3,1.77,22.178119,True,Kolkata,retired,High
55,65.7,1.75,5.085314,False,Jaipur,freelancer,Low
30,63.6,1.54,1.301411,False,Mysore,student,Medium
50,63.7,1.8,29.452626,False,Jaipur,government_job,Low
20,72.0,1.63,3.339779,False,Hyderabad,student,Medium
54,87.2,1.82,15.613089,False,Indore,retired,Low
57,80.8,1.74,5.985741,False,Pune,unemployed,Low
21,71.1,1.63,34.977201,False,Mumbai,freelancer,Low
74,93.1,1.64,33.408758,False,Chennai,unemployed,Medium
63,60.7,1.79,17.491825,True,Bangalore,retired,High
70,71.2,1.72,11.963042,True,Kota,private_job,High
52,76.3,1.77,8.290841,True,Chennai,private_job,High
22,82.4,1.56,3.577083,True,Gaya,business_owner,High
71,105.0,1.81,7.049995,False,Mysore,retired,High
43,64.8,1.63,22.787894,True,Kolkata,retired,Medium
68,86.4,1.75,50.0,False,Jalandhar,government_job,Low
70,91.8,1.55,25.229537,False,Jaipur,retired,Medium
55,54.3,1.63,29.562655,False,Chennai,retired,Low
74,92.8,1.76,11.958021,True,Chennai,retired,High
44,62.8,1.61,24.020171,True,Jaipur,freelancer,Medium
53,55.6,1.85,1.2679,False,Jalandhar,unemployed,High
36,116.3,1.76,6.085589,False,Lucknow,freelancer,Low
30,117.4,1.85,29.196096,True,Jalandhar,unemployed,Medium
18,106.6,1.66,29.777682,False,Kota,student,Low
34,72.0,1.51,7.406195,False,Hyderabad,student,Low
65,57.8,1.73,3.192462,False,Bangalore,unemployed,High
60,98.1,1.64,12.452283,True,Mumbai,retired,High
71,81.3,1.68,8.348676,True,Mysore,retired,High
51,59.5,1.77,37.88958,True,Lucknow,retired,Medium
57,85.1,1.78,29.184433,True,Indore,freelancer,Medium
69,53.5,1.51,50.0,False,Delhi,government_job,Low
53,113.6,1.81,45.672735,False,Delhi,retired,Low
38,68.9,1.7,9.959087,True,Kota,freelancer,Medium
71,96.6,1.72,19.757004,False,Jalandhar,retired,High
72,72.5,1.62,50.0,False,Chandigarh,student,Low
35,86.8,1.67,8.667702,True,Delhi,unemployed,High
41,88.7,1.78,16.32048,False,Delhi,retired,Low
66,63.8,1.81,13.39904,True,Chennai,student,High
38,117.7,1.65,13.711895,True,Chennai,business_owner,High
33,104.4,1.78,5.147378,False,Kota,student,Low
69,115.6,1.6,50.0,True,Indore,business_owner,High
26,112.6,1.83,4.909143,True,Chennai,freelancer,High
40,92.2,1.74,50.0,True,Bangalore,retired,Medium
49,114.4,1.81,50.0,True,Kota,retired,Medium
55,57.2,1.69,17.742876,False,Mysore,retired,Low
65,64.6,1.59,13.547509,False,Jaipur,freelancer,Medium
57,54.2,1.67,5.727766,False,Lucknow,private_job,Low
53,73.5,1.65,14.556583,True,Jalandhar,retired,High
67,77.8,1.63,44.17308,False,Gaya,government_job,Low
44,69.7,1.58,6.342955,False,Lucknow,retired,Low
67,108.0,1.8,50.0,True,Pune,freelancer,High
58,75.6,1.53,41.577682,True,Chandigarh,retired,Medium
21,70.4,1.86,11.980529,True,Chennai,freelancer,Medium
50,88.4,1.57,32.320711,False,Indore,private_job,Low
37,60.8,1.89,4.933989,True,Indore,unemployed,High
42,106.2,1.9,12.021342,False,Jaipur,unemployed,Low
67,56.2,1.66,50.0,True,Jalandhar,retired,High
